书名,相关信息,评分
白鹿原,陈忠实 / 人民文学出版社 / 1997-12 / 28.00元,8.7
了不起的盖茨比,菲茨杰拉德 / 姚乃强 / 人民文学出版社 / 2004-06 / 12.00元,8.4
建筑师,(美) 大卫·马祖凯利 / 艾琦 / 北京联合出版公司 / 2019-3 / 198.00元,9.2
朝花夕拾,鲁迅 / 人民文学出版社 / 1972年4月 / 0.25元,8.8
刀锋,[英]毛姆 / 周煦良 / 上海译文出版社 / 2007-3 / 18.00元,9.0
天龙八部,金庸 / 生活.读书.新知三联书店 / 1994-5 / 96.0,9.1
基督山伯爵,大仲马 / 周克希 / 韩沪麟 / 上海译文出版社 / 1991-12-1 / 43.90元,9.0
瓦尔登湖,[美] 梭罗 / 徐迟 / 上海译文出版社 / 2006-8 / 11.00元,8.4
呼啸山庄,（英）勃朗特 / 张玲 / 张扬 / 张扬 / 张玲 / 人民文学出版社 / 1999-01-01 / 27.30元,8.4
罗生门,[日]芥川龙之介 / 林少华 / 上海译文出版社 / 2008-7 / 12.00元,8.7
巨人的陨落,[英] 肯·福莱特 / 于大卫 / 江苏凤凰文艺出版社 / 2016-5-1 / 129.80元,8.9
寂寞的游戏,袁哲生 / 北京联合出版公司 / 2017-9 / 38.00元,8.4
倾城之恋,花城出版社 / 1997-3-1 / 11.00,8.5
三国演义,罗贯中 / 岳麓书社 / 1986-6-1 / 13.0,9.4
克莱因壶,[日]冈岛二人 / 张舟 / 化学工业出版社 / 2019-9 / 48.00元,8.9
爱你就像爱生命,王小波 / 李银河 / 上海锦绣文章出版社 / 2008-5 / 18.00元,8.8
悲惨世界,[法] 雨果 / 李丹 / 方于 / 人民文学出版社 / 2015-6 / 110.00元,9.5
82年生的金智英,[韩]赵南柱 / 尹嘉玄 / 贵州人民出版社 / 2019-9 / 45.00元,7.9
哈利·波特与火焰杯,[英] J. K. 罗琳 / 马爱新 / 人民文学出版社 / 2001-5 / 39.80元,9.0
杀死一只知更鸟,[美] 哈珀·李 / 李育超 / 译林出版社 / 2017-2 / 48.00,9.2
许三观卖血记,余华 / 作家出版社 / 2012-9 / 24.00元,9.0
无人生还,[英] 阿加莎・克里斯蒂 / 祁阿红 / 人民文学出版社 / 2008-3 / 19.00,8.9
萨拉戈萨手稿,[波兰] 扬·波托茨基 / 方颂华 / 湖南文艺出版社 / 2019-11 / 118.00元,8.5
福尔摩斯探案全集（上中下）,[英] 阿·柯南道尔 / 丁钟华 等 / 群众出版社 / 1981-8 / 53.00元/68.00元,9.2
苏菲的世界,（挪威）乔斯坦·贾德 / 萧宝森 / 作家出版社 / 1999-04 / 26.80元,8.5
哈利·波特与阿兹卡班的囚徒,[英] J. K. 罗琳 / 郑须弥 / 人民文学出版社 / 2000-9 / 26.50元,9.0
人生海海,麦家 / 北京十月文艺出版社 / 2019-4 / 55.00元,8.1
失踪的孩子,[意] 埃莱娜·费兰特 / 陈英 / 人民文学出版社 / 2018-6-1 / 62,9.1
四世同堂,老舍 / 北京十月文艺出版社 / 2008-07 / 36.00元,9.3
茶花女,小仲马 / 王振孙 / 外国文学出版社 / 1997-3 / 9.00元,8.2
红玫瑰与白玫瑰,张爱玲 / 花城出版社 / 1996-06 / 12.80元,8.4
书店日记,[英] 肖恩·白塞尔 / 顾真 / 广西师范大学出版社 / 2019-9 / 79.00元,8.3
无人生还,(英)阿加莎·克里斯蒂 / 夏阳 / 新星出版社 / 2013-7 / 28.00元,8.6
悲惨世界（上中下）,[法] 雨果 / 李丹 / 方于 / 人民文学出版社 / 1992-6 / 66.00元,9.0
云游,[波兰] 奥尔加·托卡尔丘克 / 于是 / 四川人民出版社 / 2020-1 / 55.00元,9.0
盗墓笔记,南派三叔 / 中国友谊出版公司 / 2007-1 / 26.80元,8.3
梦里花落知多少,三毛 / 北京十月文艺出版社 / 2007-6 / 28.00元,8.8
新名字的故事,[意] 埃莱娜·费兰特 / 陈英 / 人民文学出版社 / 2017-4 / 59.00元,9.0
鲁滨逊漂流记,[英] 笛福 / 马静 / 广西民族出版社 / 2002-1 / 9.20元,8.1
活着,余华 / 南海出版公司 / 1998-5 / 12.00元,9.1
美丽新世界,[英] 赫胥黎 / 陈超 / 上海译文出版社 / 2017-6 / 45.00元,9.1
无声告白,[美] 伍绮诗 / 孙璐 / 江苏凤凰文艺出版社 / 2015-7 / 35.00元,8.2
安徒生童话故事集,（丹麦）安徒生 / 叶君健 / 人民文学出版社 / 1997-08 / 25.00元,9.2
大象席地而坐,胡迁 / 译林出版社 / 2019-11 / 58.00,8.6
送你一颗子弹,刘瑜 / 上海三联书店 / 2010-1 / 25.00元,8.6
哈利·波特与死亡圣器,[英] J. K. 罗琳 / 马爱农 / 马爱新 / 人民文学出版社 / 2007-10 / 66.00元,9.0
月亮和六便士,[英] 毛姆 / 傅惟慈 / 上海译文出版社 / 2009-10 / 32.00元,9.1
巴黎圣母院,[法]雨果 / 陈敬容 / 人民文学出版社 / 1982-6 / 22.50元,8.4
穆斯林的葬礼,霍达 / 北京十月文艺出版社 / 1988-12-1 / 32.00,8.1
麦琪的礼物,[美] 欧·亨利 / 张经浩 / 上海社会科学院出版社 / 2003-7 / 25.00元,8.6
灿烂千阳,[美] 卡勒德·胡赛尼 / 李继宏 / 上海人民出版社 / 2007-9 / 28.00元,8.8
呼兰河传,萧红 / 百花文艺出版社 / 2005-01 / 19.00,8.9
笑傲江湖（全四册）,金庸 / 生活·读书·新知三联书店 / 1994-5 / 76.80元,9.0
最好的我们,八月长安 / 湖南文艺出版社 / 2013-8-5 / 55,8.8
尼罗河上的惨案,[英] 阿加莎·克里斯蒂 / 宫英海 / 人民文学出版社 / 2006-5 / 22.00元,8.7
达·芬奇密码,[美] 丹·布朗 / 朱振武 / 吴晟 / 周元晓 / 上海人民出版社 / 2004-2 / 28.00元,8.2
台北人,白先勇 / 广西师范大学出版社 / 2010-10 / 38.00元,8.9
鼠疫,[法] 阿尔贝·加缪 / 顾方济 / 徐志仁 / 译林出版社 / 2003-05 / 20.00元,8.6
斯通纳,[美] 约翰·威廉斯 / 杨向荣 / 上海人民出版社 / 2016-1 / 39.00元,8.8
半生缘,张爱玲 / 北京十月文艺出版社 / 2006-12 / 28.00元,8.6
平凡的世界,"路遥 / 北京出版集团公司,北京十月文艺出版社 / 2012-3-1 / CNY 79.80",9.0
格林童话全集,[德国]格林兄弟 / 魏以新 / 人民文学出版社 / 1994-11 / 21.45元,9.0
人间喜剧,巴尔扎克 / 世界图书出版公司 / 2009-10 / 29.80元,9.2
活着,余华 / 北京十月文艺出版社 / 2017-6-1 / 35.00元,9.4
海底两万里,[法国] 儒尔·凡尔纳 / 沈国华 / 钱培鑫 / 曹德明 / 译林出版社 / 2002-9 / 19.50元,8.5
我的精神家园,王小波 / 文化艺术出版社 / 1997 / 18.80元,9.1
查令十字街84号,[美] 海莲·汉芙 / 陈建铭 / 译林出版社 / 2005-05-01 / 18.00元,8.3
明朝那些事儿（1-9）,当年明月 / 中国海关出版社 / 2009-4 / 358.20元,9.1
面纱,(英)W.萨默塞特·毛姆 / 阮景林 / 重庆 / 2012-05-01 / 32.00元,8.7
我的天才女友,[意] 埃莱娜·费兰特 / 陈英 / 人民文学出版社 / 2017-1 / 42.00元,8.5
情书,[日] 岩井俊二 / 穆晓芳 / 天津人民出版社 / 2004-7 / 18.00元,8.6
海边的卡夫卡,[日] 村上春树 / 林少华 / 上海译文出版社 / 2003-4 / 25.00元,8.1
一千零一夜,纳训 / 人民文学出版社 / 2003-01 / 22.0,8.7
傲慢与偏见,简•奥斯丁(Jane Austen) / 孙致礼 / 译林出版社 / 2010-6-1 / 18.50元,9.0
哈利·波特与密室,[英] J. K. 罗琳 / 马爱新 / 人民文学出版社 / 2000-9 / 22.00元,8.9
撒野,巫哲 / 北京联合出版公司 / 2018-10 / 45.00元,8.8
罗生门,芥川龙之介 / 鲁迅 / 文洁若 / 文学朴 / 江苏凤凰文艺出版社 / 2019-4 / 59.90,9.0
西游记（全二册）,吴承恩 / 黄肃秋 注释 / 人民文学出版社 / 2004-8 / 47.20元,8.9
雷雨,曹禺 / 人民文学出版社 / 1999-05 / 9.20,8.6
